Ivanov, Ivan, 40000, 41000, 40500, 42000, 41500, 43000, 41000, 44000, 43500, 45000, 44000
Petrenko, Maria, 55000, 56000, 55500, 54000, 58000, 59000, 57000, 60000, 61000, 59000, 62000
Shevchuk, Oleg, 38000, 37000, 39000, 40000, 39500, 41000, 40000, 42000, 41500, 43000, 41000
Bondar, Olga, 47000, 46000, 48000, 47500, 49000, 48500, 50000, 49500, 51000, 50500, 52000
Sydorenko, Viktor, 50000, 49500, 51000, 52000, 51500, 53000, 54000, 53500, 55000, 56000, 55500
Koval, Andrii, 39000, 40000, 38000, 41000, 40000, 42000, 41000, 43000, 42500, 44000, 43500
Tkachenko, Sergiy, 61000, 60500, 62000, 63000, 64000, 65000, 62500, 66000, 67000, 65500, 68000
Hrytsenko, Dmytro, 57000, 56000, 57500, 59000, 58000, 59500, 60000, 61000, 60500, 62000, 61500
Vasylenko, Iryna, 48000, 49000, 47000, 49500, 48000, 50000, 48500, 51000, 50500, 52000, 51500
Melnyk, Oksana, 43000, 42500, 44000, 45000, 44500, 46000, 45500, 47000, 46500, 48000, 47500
Boiko, Roman, 52000, 51000, 53000, 54000, 53500, 55000, 54500, 56000, 55500, 57000, 56500
Nikolenko, Kateryna, 41000, 40000, 41500, 42000, 42500, 43000, 41000, 44000, 43500, 45000, 44500
Stepanenko, Pavlo, 46000, 47000, 45500, 46500, 47500, 48000, 47000, 49000, 48500, 50000, 49500
Morozenko, Natalia, 53000, 52500, 54000, 53500, 55000, 54500, 56000, 55500, 57000, 56500, 58000
Doroshenko, Oleksandr, 62000, 63000, 61000, 63500, 64000, 62500, 65000, 66000, 64500, 67000, 66000
Zhuk, Alla, 47000, 46000, 47500, 48000, 48500, 49000, 47000, 50000, 49500, 51000, 50500
Karpenko, Rostyslav, 49000, 50000, 48500, 49500, 50500, 51500, 50000, 52000, 51000, 52500, 51500
Bila, Olena, 55000, 54000, 55500, 56500, 56000, 57000, 56500, 58000, 57500, 59000, 58500
Marchenko, Taras, 38000, 37000, 39000, 40000, 39500, 41000, 40500, 42000, 41500, 43000, 42500
Horun, Maksym, 46000, 45500, 47000, 46500, 48000, 47500, 49000, 48500, 50000, 49500, 51000
